instruction,input,output,context,text,bidirectional
Create feature description website content,company overview,Experience comprehensive platform that prioritize your requirements while coordinating sustainable growth,,"### Instruction: Create feature description website content
### Input: company overview
### Response: Experience comprehensive platform that prioritize your requirements while coordinating sustainable growth",
Generate a professional response in healthcare style,"good idea, I'll do that",That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.,"{'domain': 'healthcare', 'seniority': 1, 'relationship': 'superior'}","### Instruction: Generate a professional response in healthcare style
### Input: good idea, I'll do that
### Response: That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.",
Create comprehensive client proposal content,client proposal,"Our advanced analytics help organizations enhance their strategies to enhance customer experience Built with industry-leading solutions, our platform helps you achieve outcomes efficiently",,"### Instruction: Create comprehensive client proposal content
### Input: client proposal
### Response: Our advanced analytics help organizations enhance their strategies to enhance customer experience Built with industry-leading solutions, our platform helps you achieve outcomes efficiently",
Generate a professional response in finance style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'finance', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Generate a professional response in finance style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Translate this corporate speak to plain English,We should touch base on this matter,We should talk on this matter,,"### Instruction: Translate this corporate speak to plain English
### Input: We should touch base on this matter
### Response: We should talk on this matter",
Transform multi-part message to retail corporate style (level: EXECUTIVE),"hey team
quick update on the project
we hit some issues but found solutions
let me know if you need details","Good morning team,
I wanted to provide a brief update on our touchpoints
While we encountered some seasonal fluctuations, we've identified viable solutions
Please don't hesitate to reach out if you require additional details","{'domain': 'retail', 'seniority': 4, 'message_type': 'multi_part_update'}","### Instruction: Transform multi-part message to retail corporate style (level: EXECUTIVE)
### Input: hey team
quick update on the project
we hit some issues but found solutions
let me know if you need details
### Response: Good morning team,
I wanted to provide a brief update on our touchpoints
While we encountered some seasonal fluctuations, we've identified viable solutions
Please don't hesitate to reach out if you require additional details",
Create thought leadership content,innovation insights,The future of future of work requires planning outcomes that coordinate digital transformation,,"### Instruction: Create thought leadership content
### Input: innovation insights
### Response: The future of future of work requires planning outcomes that coordinate digital transformation",
Generate a professional response in manufacturing style,"good idea, I'll do that",That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.,"{'domain': 'manufacturing', 'seniority': 1, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in manufacturing style
### Input: good idea, I'll do that
### Response: That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.",
Respond to interview question as manufacturing professional,tell me about yourself,"In my previous role, I focused on reviewing opportunities which resulted in customer satisfaction","{'domain': 'manufacturing', 'scenario': 'interview'}","### Instruction: Respond to interview question as manufacturing professional
### Input: tell me about yourself
### Response: In my previous role, I focused on reviewing opportunities which resulted in customer satisfaction",
Respond to interview question as tech_startup professional,where do you see yourself in 5 years?,I believe my growth mindset would enable me to enhance your opportunities,"{'domain': 'tech_startup', 'scenario': 'interview'}","### Instruction: Respond to interview question as tech_startup professional
### Input: where do you see yourself in 5 years?
### Response: I believe my growth mindset would enable me to enhance your opportunities",
Transform to finance corporate speak (seniority: JUNIOR),nice work on the presentation,I wanted to commend you on the liquidity presentation. It was well-structured and effectively communicated our key points.,"{'domain': 'finance', 'seniority': 1, 'relationship': 'subordinate'}","### Instruction: Transform to finance corporate speak (seniority: JUNIOR)
### Input: nice work on the presentation
### Response: I wanted to commend you on the liquidity presentation. It was well-structured and effectively communicated our key points.",
Generate a professional response in healthcare style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'healthcare', 'seniority': 3, 'relationship': 'client'}","### Instruction: Generate a professional response in healthcare style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Generate a professional response in retail style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'retail', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Generate a professional response in retail style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Transform to manufacturing corporate speak (seniority: EXECUTIVE),got time to chat?,Do you have availability for a brief discussion?,"{'domain': 'manufacturing', 'seniority': 4, 'relationship': 'client'}","### Instruction: Transform to manufacturing corporate speak (seniority: EXECUTIVE)
### Input: got time to chat?
### Response: Do you have availability for a brief discussion?",
Translate this corporate speak to plain English,We need to optimize the deliverables to achieve synergies,We need to improve the work to achieve synergies,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to optimize the deliverables to achieve synergies
### Response: We need to improve the work to achieve synergies",
Create culture description content,our purpose,We champion innovation by coordinating requirements that reflect our commitment to sustainable innovation,,"### Instruction: Create culture description content
### Input: our purpose
### Response: We champion innovation by coordinating requirements that reflect our commitment to sustainable innovation",
Translate this corporate speak to plain English,"at your earliest convenience, let's circle back to discuss initiatives","When you can, let's talk later to discuss initiatives",,"### Instruction: Translate this corporate speak to plain English
### Input: at your earliest convenience, let's circle back to discuss initiatives
### Response: When you can, let's talk later to discuss initiatives",
Transform to retail corporate speak (seniority: JUNIOR),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'retail', 'seniority': 1, 'relationship': 'superior'}","### Instruction: Transform to retail corporate speak (seniority: JUNIOR)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Translate this corporate speak to plain English,I'd like to take this offline about your concerns,I'd like to discuss privately about your concerns,,"### Instruction: Translate this corporate speak to plain English
### Input: I'd like to take this offline about your concerns
### Response: I'd like to discuss privately about your concerns",
Translate this corporate speak to plain English,"going forward, let's drill down to discuss deliverables","From now on, let's look deeper to discuss work",,"### Instruction: Translate this corporate speak to plain English
### Input: going forward, let's drill down to discuss deliverables
### Response: From now on, let's look deeper to discuss work",
Translate this corporate speak to plain English,Let's operationalize to deep dive our initiatives,Let's put into practice to detailed review our initiatives,,"### Instruction: Translate this corporate speak to plain English
### Input: Let's operationalize to deep dive our initiatives
### Response: Let's put into practice to detailed review our initiatives",
Translate this corporate speak to plain English,We should synergize our action items to ensure ensure alignment,We should work together our trequests to ensure ensure alignment,,"### Instruction: Translate this corporate speak to plain English
### Input: We should synergize our action items to ensure ensure alignment
### Response: We should work together our trequests to ensure ensure alignment",
Translate this corporate speak to plain English,Let's let's circle back regarding the project,Let's let's revisit this regarding the project,,"### Instruction: Translate this corporate speak to plain English
### Input: Let's let's circle back regarding the project
### Response: Let's let's revisit this regarding the project",
Transform to corporate speak,fix the problem,We need to address these challenges,,"### Instruction: Transform to corporate speak
### Input: fix the problem
### Response: We need to address these challenges",True
Create culture description content,company culture,"At our core, we believe in customer focus and tracking collaborative ecosystem through collaborative processes",,"### Instruction: Create culture description content
### Input: company culture
### Response: At our core, we believe in customer focus and tracking collaborative ecosystem through collaborative processes",
Translate corporate speak to plain English,Let's sync up to align on our objectives,let's meet,,"### Instruction: Translate corporate speak to plain English
### Input: Let's sync up to align on our objectives
### Response: let's meet",True
Translate this corporate speak to plain English,It would be beneficial to deep dive,It would be beneficial to close examination,,"### Instruction: Translate this corporate speak to plain English
### Input: It would be beneficial to deep dive
### Response: It would be beneficial to close examination",
Translate this corporate speak to plain English,I don't have the cycles to strategize the initiatives right now,I don't have the time to plan the initiatives right now,,"### Instruction: Translate this corporate speak to plain English
### Input: I don't have the cycles to strategize the initiatives right now
### Response: I don't have the time to plan the initiatives right now",
Transform multi-part message to retail corporate style (level: EXECUTIVE),"hey team
quick update on the project
we hit some issues but found solutions
let me know if you need details","Good morning team,
I wanted to provide a brief update on our channels
While we encountered some supply chain, we've identified viable solutions
Please don't hesitate to reach out if you require additional details","{'domain': 'retail', 'seniority': 4, 'message_type': 'multi_part_update'}","### Instruction: Transform multi-part message to retail corporate style (level: EXECUTIVE)
### Input: hey team
quick update on the project
we hit some issues but found solutions
let me know if you need details
### Response: Good morning team,
I wanted to provide a brief update on our channels
While we encountered some supply chain, we've identified viable solutions
Please don't hesitate to reach out if you require additional details",
Transform to manufacturing corporate speak (seniority: JUNIOR),"hey, how's the project going?",would it be possible to i wanted to touch base on the quality control project status.,"{'domain': 'manufacturing', 'seniority': 1, 'relationship': 'subordinate'}","### Instruction: Transform to manufacturing corporate speak (seniority: JUNIOR)
### Input: hey, how's the project going?
### Response: would it be possible to i wanted to touch base on the quality control project status.",
Translate this corporate speak to plain English,We're moving the needle on leverageing our deliverables,We're moving the needle on useing our work,,"### Instruction: Translate this corporate speak to plain English
### Input: We're moving the needle on leverageing our deliverables
### Response: We're moving the needle on useing our work",
Translate this corporate speak to plain English,"by EOD, let's deep dive to discuss stakeholders","By end of day, let's detailed review to discuss stakeholders",,"### Instruction: Translate this corporate speak to plain English
### Input: by EOD, let's deep dive to discuss stakeholders
### Response: By end of day, let's detailed review to discuss stakeholders",
Respond to interview question as tech_startup professional,describe a challenge you faced,I'm passionate about updating outcomes to innovation acceleration,"{'domain': 'tech_startup', 'scenario': 'interview'}","### Instruction: Respond to interview question as tech_startup professional
### Input: describe a challenge you faced
### Response: I'm passionate about updating outcomes to innovation acceleration",
Translate this corporate speak to plain English,We're gaining traction on optimizeing our objectives,We're gaining traction on improveing our objectives,,"### Instruction: Translate this corporate speak to plain English
### Input: We're gaining traction on optimizeing our objectives
### Response: We're gaining traction on improveing our objectives",
Respond to interview question as retail professional,why do you want this job?,"In my previous role, I focused on organizing initiatives which resulted in operational excellence","{'domain': 'retail', 'scenario': 'interview'}","### Instruction: Respond to interview question as retail professional
### Input: why do you want this job?
### Response: In my previous role, I focused on organizing initiatives which resulted in operational excellence",
Create roadmap vision content,feature request response,"Over the next quarter, we'll be reviewing key cloud infrastructure that deliver increased efficiency",,"### Instruction: Create roadmap vision content
### Input: feature request response
### Response: Over the next quarter, we'll be reviewing key cloud infrastructure that deliver increased efficiency",
Generate a professional response in manufacturing style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'manufacturing', 'seniority': 2, 'relationship': 'superior'}","### Instruction: Generate a professional response in manufacturing style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Translate this corporate speak to plain English,We need to strategize the initiatives to ensure alignment,We need to plan the initiatives to ensure alignment,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to strategize the initiatives to ensure alignment
### Response: We need to plan the initiatives to ensure alignment",
Generate a professional response in consulting style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'consulting', 'seniority': 2, 'relationship': 'client'}","### Instruction: Generate a professional response in consulting style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Transform this to professional corporate communication,Thanks for your help,Could you loop back when you get a chance to deliver the capabilities?,,"### Instruction: Transform this to professional corporate communication
### Input: Thanks for your help
### Response: Could you loop back when you get a chance to deliver the capabilities?",
Create comprehensive client proposal content,client proposal,We specialize in managing intuitive interface that enable businesses to drive meaningful results Experience advanced analytics that align your workflows while coordinating organizational efficiency,,"### Instruction: Create comprehensive client proposal content
### Input: client proposal
### Response: We specialize in managing intuitive interface that enable businesses to drive meaningful results Experience advanced analytics that align your workflows while coordinating organizational efficiency",
Generate a professional response in retail style,"good idea, I'll do that",That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.,"{'domain': 'retail', 'seniority': 2, 'relationship': 'client'}","### Instruction: Generate a professional response in retail style
### Input: good idea, I'll do that
### Response: That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.",
Transform to consulting corporate speak (seniority: MID),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'consulting', 'seniority': 2, 'relationship': 'client'}","### Instruction: Transform to consulting corporate speak (seniority: MID)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Generate a professional response in retail style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'retail', 'seniority': 1, 'relationship': 'superior'}","### Instruction: Generate a professional response in retail style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Transform to consulting corporate speak (seniority: JUNIOR),got time to chat?,Do you have availability for a brief discussion?,"{'domain': 'consulting', 'seniority': 1, 'relationship': 'client', 'conversation_type': 'meeting_request'}","### Instruction: Transform to consulting corporate speak (seniority: JUNIOR)
### Input: got time to chat?
### Response: Do you have availability for a brief discussion?",
Generate a professional response in retail style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'retail', 'seniority': 3, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in retail style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Generate a professional response in healthcare style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'healthcare', 'seniority': 2, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in healthcare style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Transform to consulting corporate speak (seniority: MID),maybe add more data next time,"For future iterations, incorporating additional data points could strengthen our narrative.","{'domain': 'consulting', 'seniority': 2, 'relationship': 'superior'}","### Instruction: Transform to consulting corporate speak (seniority: MID)
### Input: maybe add more data next time
### Response: For future iterations, incorporating additional data points could strengthen our narrative.",
Transform to consulting corporate speak (seniority: JUNIOR),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'consulting', 'seniority': 1, 'relationship': 'subordinate'}","### Instruction: Transform to consulting corporate speak (seniority: JUNIOR)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Translate corporate speak to plain English,My bandwidth is currently limited,i'm busy,,"### Instruction: Translate corporate speak to plain English
### Input: My bandwidth is currently limited
### Response: i'm busy",True
Transform to corporate speak,make it better,Let's optimize this for better outcomes,,"### Instruction: Transform to corporate speak
### Input: make it better
### Response: Let's optimize this for better outcomes",True
Translate this corporate speak to plain English,We need to optimize the deliverables to achieve synergies,We need to improve the work to achieve synergies,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to optimize the deliverables to achieve synergies
### Response: We need to improve the work to achieve synergies",
Translate this corporate speak to plain English,We should low-hanging fruit on this matter,We should simple tasks on this matter,,"### Instruction: Translate this corporate speak to plain English
### Input: We should low-hanging fruit on this matter
### Response: We should simple tasks on this matter",
Translate this corporate speak to plain English,We're moving the needle on strategizeing our objectives,We're moving the needle on strategizeing our objectives,,"### Instruction: Translate this corporate speak to plain English
### Input: We're moving the needle on strategizeing our objectives
### Response: We're moving the needle on strategizeing our objectives",
Translate this corporate speak to plain English,Can we drill down on the action items by EOD?,Can we look deeper on the trequests by end of day?,,"### Instruction: Translate this corporate speak to plain English
### Input: Can we drill down on the action items by EOD?
### Response: Can we look deeper on the trequests by end of day?",
Transform this to professional corporate communication,Did you finish the project?,Let's loop back on this to ensure we're tracking our capabilities effectively,,"### Instruction: Transform this to professional corporate communication
### Input: Did you finish the project?
### Response: Let's loop back on this to ensure we're tracking our capabilities effectively",
Transform to consulting corporate speak (seniority: SENIOR),nice work on the presentation,I wanted to commend you on the ROI presentation. It was well-structured and effectively communicated our key points.,"{'domain': 'consulting', 'seniority': 3, 'relationship': 'peer'}","### Instruction: Transform to consulting corporate speak (seniority: SENIOR)
### Input: nice work on the presentation
### Response: I wanted to commend you on the ROI presentation. It was well-structured and effectively communicated our key points.",
Generate a professional response in retail style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'retail', 'seniority': 3, 'relationship': 'peer'}","### Instruction: Generate a professional response in retail style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Create comprehensive client proposal content,client proposal,Our scalable infrastructure help organizations enhance their processes to optimize performance Experience enterprise-grade security that leverage your touchpoints while managing market leadership,,"### Instruction: Create comprehensive client proposal content
### Input: client proposal
### Response: Our scalable infrastructure help organizations enhance their processes to optimize performance Experience enterprise-grade security that leverage your touchpoints while managing market leadership",
Create culture description content,company mission,We foster collaboration while planning an environment where the committee can implement workflows,,"### Instruction: Create culture description content
### Input: company mission
### Response: We foster collaboration while planning an environment where the committee can implement workflows",
Translate this corporate speak to plain English,It would be beneficial to bandwidth,It would be beneficial to availability,,"### Instruction: Translate this corporate speak to plain English
### Input: It would be beneficial to bandwidth
### Response: It would be beneficial to availability",
Translate this corporate speak to plain English,I don't have the resources to optimize the stakeholders right now,I don't have the resources to improve the stakeholders right now,,"### Instruction: Translate this corporate speak to plain English
### Input: I don't have the resources to optimize the stakeholders right now
### Response: I don't have the resources to improve the stakeholders right now",
Translate consulting corporate speak to plain English,I'd like to synergize about your concerns,I'd like to collaborate about your concerns,{'domain': 'consulting'},"### Instruction: Translate consulting corporate speak to plain English
### Input: I'd like to synergize about your concerns
### Response: I'd like to collaborate about your concerns",
Create thought leadership content,future predictions,The future of leadership paradigms requires developing initiatives that coordinate digital transformation,,"### Instruction: Create thought leadership content
### Input: future predictions
### Response: The future of leadership paradigms requires developing initiatives that coordinate digital transformation",
Create investor communication content,board presentation,We continue coordinating stakeholder engagement while maintaining strong operational efficiency metrics,,"### Instruction: Create investor communication content
### Input: board presentation
### Response: We continue coordinating stakeholder engagement while maintaining strong operational efficiency metrics",
Generate a professional response in tech_startup style,"sure, when?",I can make myself available. What timeframe works best for you?,"{'domain': 'tech_startup', 'seniority': 4, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in tech_startup style
### Input: sure, when?
### Response: I can make myself available. What timeframe works best for you?",
Translate this corporate speak to plain English,We need to leverage the objectives to maximize ROI,We need to use the objectives to increase return,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to leverage the objectives to maximize ROI
### Response: We need to use the objectives to increase return",
Translate this corporate speak to plain English,Can we touch base on the deliverables at your earliest convenience?,Can we talk on the work when you can?,,"### Instruction: Translate this corporate speak to plain English
### Input: Can we touch base on the deliverables at your earliest convenience?
### Response: Can we talk on the work when you can?",
Create comprehensive executive all-hands content,executive all-hands,"At our core, we believe in accountability and updating purpose-driven growth through collaborative initiatives The board should note our remarkable results in managing sustainability initiatives We believe sustainable business practices will transform how organizations optimize their deliverables",,"### Instruction: Create comprehensive executive all-hands content
### Input: executive all-hands
### Response: At our core, we believe in accountability and updating purpose-driven growth through collaborative initiatives The board should note our remarkable results in managing sustainability initiatives We believe sustainable business practices will transform how organizations optimize their deliverables",
Generate a professional response in healthcare style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'healthcare', 'seniority': 1, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in healthcare style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Generate a professional response in retail style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'retail', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Generate a professional response in retail style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Transform to retail corporate speak (seniority: SENIOR),"hey, how's the project going?",I wanted to touch base on the channels project status.,"{'domain': 'retail', 'seniority': 3, 'relationship': 'subordinate'}","### Instruction: Transform to retail corporate speak (seniority: SENIOR)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the channels project status.",
Transform to retail corporate speak (seniority: JUNIOR),how about tomorrow at 2?,Would tomorrow at 2 PM work with your schedule?,"{'domain': 'retail', 'seniority': 1, 'relationship': 'peer'}","### Instruction: Transform to retail corporate speak (seniority: JUNIOR)
### Input: how about tomorrow at 2?
### Response: Would tomorrow at 2 PM work with your schedule?",
Create thought leadership content,our purpose,Our perspective on innovation methodologies is shaped by our experience coordinating stakeholders,,"### Instruction: Create thought leadership content
### Input: our purpose
### Response: Our perspective on innovation methodologies is shaped by our experience coordinating stakeholders",
Generate a professional response in tech_startup style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'tech_startup', 'seniority': 4, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in tech_startup style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Create thought leadership content,industry trends,We believe leadership paradigms will transform how organizations execute their metrics,,"### Instruction: Create thought leadership content
### Input: industry trends
### Response: We believe leadership paradigms will transform how organizations execute their metrics",
Transform to consulting corporate speak (seniority: EXECUTIVE),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'consulting', 'seniority': 4, 'relationship': 'subordinate'}","### Instruction: Transform to consulting corporate speak (seniority: EXECUTIVE)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Create investor communication content,strategic review,The market opportunity for objectives aligns with our competitive landscape priorities,,"### Instruction: Create investor communication content
### Input: strategic review
### Response: The market opportunity for objectives aligns with our competitive landscape priorities",
Transform to tech_startup corporate speak (seniority: SENIOR),how about tomorrow at 2?,Would tomorrow at 2 PM work with your schedule?,"{'domain': 'tech_startup', 'seniority': 3, 'relationship': 'peer'}","### Instruction: Transform to tech_startup corporate speak (seniority: SENIOR)
### Input: how about tomorrow at 2?
### Response: Would tomorrow at 2 PM work with your schedule?",
Translate this corporate speak to plain English,We're gaining traction on synergizeing our action items,We're gaining traction on work togethering our trequests,,"### Instruction: Translate this corporate speak to plain English
### Input: We're gaining traction on synergizeing our action items
### Response: We're gaining traction on work togethering our trequests",
Transform to consulting corporate speak (seniority: JUNIOR),what kind of problems?,would it be possible to could you elaborate on the challenges you're facing?,"{'domain': 'consulting', 'seniority': 1, 'relationship': 'client'}","### Instruction: Transform to consulting corporate speak (seniority: JUNIOR)
### Input: what kind of problems?
### Response: would it be possible to could you elaborate on the challenges you're facing?",
Translate this corporate speak to plain English,Can we touch base on the action items early next week?,Can we talk on the trequests early next week?,,"### Instruction: Translate this corporate speak to plain English
### Input: Can we touch base on the action items early next week?
### Response: Can we talk on the trequests early next week?",
Translate this corporate speak to plain English,I'll reach out to socialize this idea,I'll contact people to share this idea,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll reach out to socialize this idea
### Response: I'll contact people to share this idea",
Create comprehensive client proposal content,client proposal,Our scalable infrastructure help organizations optimize their initiatives to transform your business Experience industry-leading solutions that leverage your initiatives while updating operational excellence,,"### Instruction: Create comprehensive client proposal content
### Input: client proposal
### Response: Our scalable infrastructure help organizations optimize their initiatives to transform your business Experience industry-leading solutions that leverage your initiatives while updating operational excellence",
Translate this corporate speak to plain English,We should operationalize our stakeholders to ensure achieve synergies,We should put into practice our stakeholders to ensure achieve synergies,,"### Instruction: Translate this corporate speak to plain English
### Input: We should operationalize our stakeholders to ensure achieve synergies
### Response: We should put into practice our stakeholders to ensure achieve synergies",
Respond to interview question as healthcare professional,what are your strengths?,I'm excited about the opportunity to align capabilities and drive competitive advantage,"{'domain': 'healthcare', 'scenario': 'interview'}","### Instruction: Respond to interview question as healthcare professional
### Input: what are your strengths?
### Response: I'm excited about the opportunity to align capabilities and drive competitive advantage",
Create thought leadership content,company mission,Our perspective on organizational agility is shaped by our experience managing expectations,,"### Instruction: Create thought leadership content
### Input: company mission
### Response: Our perspective on organizational agility is shaped by our experience managing expectations",
Respond to interview question as retail professional,why do you want this job?,I'm excited about the opportunity to strategize metrics and drive customer satisfaction,"{'domain': 'retail', 'scenario': 'interview'}","### Instruction: Respond to interview question as retail professional
### Input: why do you want this job?
### Response: I'm excited about the opportunity to strategize metrics and drive customer satisfaction",
Translate healthcare corporate speak to plain English,Can we bandwidth on the proposal?,Can we time on the proposal?,{'domain': 'healthcare'},"### Instruction: Translate healthcare corporate speak to plain English
### Input: Can we bandwidth on the proposal?
### Response: Can we time on the proposal?",
Transform to healthcare corporate speak (seniority: MID),nice work on the presentation,I wanted to commend you on the patient care presentation. It was well-structured and effectively communicated our key points.,"{'domain': 'healthcare', 'seniority': 2, 'relationship': 'subordinate'}","### Instruction: Transform to healthcare corporate speak (seniority: MID)
### Input: nice work on the presentation
### Response: I wanted to commend you on the patient care presentation. It was well-structured and effectively communicated our key points.",
Translate corporate speak to plain English,What are our next action items?,what's next?,,"### Instruction: Translate corporate speak to plain English
### Input: What are our next action items?
### Response: what's next?",True
Respond to interview question as retail professional,what are your strengths?,I believe my strategic mindset would enable me to facilitate your strategies,"{'domain': 'retail', 'scenario': 'interview'}","### Instruction: Respond to interview question as retail professional
### Input: what are your strengths?
### Response: I believe my strategic mindset would enable me to facilitate your strategies",
Translate this corporate speak to plain English,Let's synergize to touch base our outcomes,Let's work together to talk our outcomes,,"### Instruction: Translate this corporate speak to plain English
### Input: Let's synergize to touch base our outcomes
### Response: Let's work together to talk our outcomes",
Generate a professional response in consulting style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'consulting', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Generate a professional response in consulting style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Translate this corporate speak to plain English,I'll touch base with the team about outcomes,I'll talk with the team about outcomes,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll touch base with the team about outcomes
### Response: I'll talk with the team about outcomes",
Translate corporate speak to plain English,Let's ideate on potential solutions,think about it,,"### Instruction: Translate corporate speak to plain English
### Input: Let's ideate on potential solutions
### Response: think about it",True
Create thought leadership content,vision statement,We believe digital transformation trends will transform how organizations implement their requirements,,"### Instruction: Create thought leadership content
### Input: vision statement
### Response: We believe digital transformation trends will transform how organizations implement their requirements",
Transform to healthcare corporate speak (seniority: EXECUTIVE),how about tomorrow at 2?,Would tomorrow at 2 PM work with your schedule?,"{'domain': 'healthcare', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Transform to healthcare corporate speak (seniority: EXECUTIVE)
### Input: how about tomorrow at 2?
### Response: Would tomorrow at 2 PM work with your schedule?",
Translate this corporate speak to plain English,"going forward, let's circle back to discuss stakeholders","From now on, let's talk later to discuss stakeholders",,"### Instruction: Translate this corporate speak to plain English
### Input: going forward, let's circle back to discuss stakeholders
### Response: From now on, let's talk later to discuss stakeholders",
Transform this to professional corporate communication,What do you think?,Could you circle back if you're comfortable with to achieve the outcomes?,,"### Instruction: Transform this to professional corporate communication
### Input: What do you think?
### Response: Could you circle back if you're comfortable with to achieve the outcomes?",
Transform to corporate speak,work together,Let's synergize our efforts,,"### Instruction: Transform to corporate speak
### Input: work together
### Response: Let's synergize our efforts",True
Translate this corporate speak to plain English,We should let's circle back on this matter,We should let's talk later on this matter,,"### Instruction: Translate this corporate speak to plain English
### Input: We should let's circle back on this matter
### Response: We should let's talk later on this matter",
Create feature announcement content,product update,Our gradual deployment will focus on tracking API developments to achieve seamless integration,,"### Instruction: Create feature announcement content
### Input: product update
### Response: Our gradual deployment will focus on tracking API developments to achieve seamless integration",
Transform to corporate speak,let's start,Let's operationalize this initiative,,"### Instruction: Transform to corporate speak
### Input: let's start
### Response: Let's operationalize this initiative",True
Translate this corporate speak to plain English,Can we touch base on the stakeholders early next week?,Can we talk on the stakeholders early next week?,,"### Instruction: Translate this corporate speak to plain English
### Input: Can we touch base on the stakeholders early next week?
### Response: Can we talk on the stakeholders early next week?",
Translate this corporate speak to plain English,I'd like to take this offline about your concerns,I'd like to handle separately about your concerns,,"### Instruction: Translate this corporate speak to plain English
### Input: I'd like to take this offline about your concerns
### Response: I'd like to handle separately about your concerns",
Translate this corporate speak to plain English,Let's leverage to reach out our objectives,Let's use to contact our objectives,,"### Instruction: Translate this corporate speak to plain English
### Input: Let's leverage to reach out our objectives
### Response: Let's use to contact our objectives",
Translate this corporate speak to plain English,I don't have the cycles to facilitate the action items right now,I don't have the time to help with the trequests right now,,"### Instruction: Translate this corporate speak to plain English
### Input: I don't have the cycles to facilitate the action items right now
### Response: I don't have the time to help with the trequests right now",
